TIPO;DIRECCION;IDENTIFICADOR;CODIGO;CODNDP,N,19,0;TIPO DE VALLA;TIPO DE SUELO;LOCALIZACION;ACCESO;N.ELEMENTOS;AREA;PERIMETRO;DIRECCION AUXLIAR;DISTRITO;BARRIO;latitud;longitud;UTMX;UTMY
AREA INFANTIL;CALLE PRINCIPE CARLOS nº 13;1439;16173;31027987;VALLA METALICA CON COLORINES;ARENA;0;0;6;441,811;78,5;C · CALLE INFANTA CATALINA MICAELA , ASCENDIENTE;HORTALEZA;VALDEFUENTES;40,48896;-3,652071;444738,272;4482233,426
AREA INFANTIL;CALLE VILLUERCAS nº 31;1026;13085;20174351;VALLA METALICA DE COLORINES;ARENA;0;0;5;285,38;71,34;C · CALLE VILLUERCAS 13 , ASCENDIENTE 1: 131 · EN;PUENTE DE VALLECAS;ENTREVÍAS;40,374875;-3,666794;443394,921;4469579,396
AREA INFANTIL;CALLE MARTOS nº 5;1021;13079;31020911;SIN VALLA;ARENA;0;0;3;240,695;63,17;C · CALLE MARTOS 13 , ASCENDIENTE 1: 131 · ENTREV;PUENTE DE VALLECAS;ENTREVÍAS;40,376204;-3,662073;443796,77;4469723,882
AREA INFANTIL;CALLE CAMPILLO DE ARENAS nº 1;1024;13082;20173701;VALLA METALICA DE COLORINES;ARENA;0;0;4;163,993;52,57;C · CALLE ALCORES , ASCENDIENTE 1: 131 · ENTREVÍA;PUENTE DE VALLECAS;ENTREVÍAS;40,376187;-3,666325;443435,843;4469724,784
AREA INFANTIL;CALLE YUSTE nº 18;1031;13090;20174649;SIN VALLA;ARENA;0;0;5;393,409;103,02;C · CALLE YUSTE , ASCENDIENTE 1: 131 · ENTREVÍAS;PUENTE DE VALLECAS;ENTREVÍAS;40,375726;-3,669147;443195,885;4469675,358
AREA INFANTIL;CALLE ARROYO DEL OLIVAR nº 96;1068;13131;11095589;VALLA METALICA DE COLORINES;ARENA;EN PARQUE PAYASO FOFO;0;3;187,122;53,45;C · CALLE PAYASO FOFO , ASCENDIENTE 1: 133 · PALO;PUENTE DE VALLECAS;PALOMERAS BAJAS;40,390817;-3,659705;444009,967;4471344,385
AREA INFANTIL;CALLE SAN CLODOALDO nº 27;1231;15055;20052748;VALLA METALICA CON COLORINES;ARENA;0;0;6;161,961;54,88;C · CALLE FRANCISCO VILLAESPESA , ASCENDIENTE 1:;CIUDAD LINEAL;VENTAS;40,427756;-3,649844;444877,032;4475438,4
AREA INFANTIL;AVENIDA MARQUES DE CORBERA nº 67;1234;15052;20038412;VALLA METALICA CON COLORINES;ARENA;0;0;8;222,241;64,24;Av · AVENIDA MARQUÉS DE CORBERA , ASCENDIENTE 1:;CIUDAD LINEAL;VENTAS;40,428032;-3,649614;444896,752;4475468,88
AREA INFANTIL;CALLE PEONIAS nº 2;1345;16049;11113206;SIN VALLA;CAUCHO CON LOSETAS;0;0;4;579,373;148,86;PARQUE PEONIAS;HORTALEZA;PALOMAS;40,45039;-3,618322;447568,448;4477931,655
AREA INFANTIL;CAMINO VALDEHIGUERA nº 46;1317;16014;20125513;VALLA METALICA DE COLORINES;ARENA;0;ACCESO CON VALLA RETRANQUEADA;3;205,975;60,74;0;HORTALEZA;VALDEFUENTES;40,479897;-3,630199;446584,699;4481214,011
