Column,PK,NOMBRE,CLASE-VIAL,LOCALIDAD,PROVINCIA,CODIGO-POSTAL,BARRIO,DISTRITO,LATITUD,LONGITUD,closestStation
44,132982,ESCUELA INFANTIL MUNICIPAL LAS VIÑAS,CALLE ESTUDIO 6,MADRID,MADRID,28023,ARAVACA,MONCLOA-ARAVACA,40.460576198420775,-3.7857037462052063,28079024
45,5633582,ESCUELA INFANTIL MUNICIPAL LOS GAVILANES,CALLE TIZIANO 7,MADRID,MADRID,28020,CUATRO CAMINOS,TETUAN,40.451085047790606,-3.702464776725833,28079038
46,28784,ESCUELA INFANTIL MUNICIPAL LOS JUNCOS,PLAZA JUVENTUD 7,MADRID,MADRID,28032,AMBROZ,VICALVARO,40.40912749404517,-3.605774962043424,28079036
47,5340,ESCUELA INFANTIL MUNICIPAL LOS PINOS,CALLE ROCAFORT 2,MADRID,MADRID,28021,SAN CRISTOBAL,VILLAVERDE,40.34123812234347,-3.6903744434659203,28079017
48,5633604,ESCUELA INFANTIL MUNICIPAL LOS SOBRINOS DEL CAPITAN GRANT,AVENIDA LA GAVIA 22,MADRID,MADRID,28051,CASCO H.VALLECAS,VILLA DE VALLECAS,40.37360084784636,-3.6116173651956935,28079054
49,187609,ESCUELA INFANTIL MUNICIPAL LUIS BELLO,CALLE JUAN BAUTISTA DE TOLEDO 5,MADRID,MADRID,28002,PROSPERIDAD,CHAMARTIN,40.443633085040005,-3.6739692982111727,28079011
50,5633425,ESCUELA INFANTIL MUNICIPAL LUISA FERNANDA,CALLE COCHERON DE LA VILLA 29,MADRID,MADRID,28031,PALOMERAS SURESTE,PUENTE DE VALLECAS,40.38152351850743,-3.635992893537739,28079040
51,5633596,ESCUELA INFANTIL MUNICIPAL MOLINOS DE VIENTO,CAMINO FUENTE DE ARRIBA 4,MADRID,MADRID,28032,CASCO H.VICALVARO,VICALVARO,40.403213774633976,-3.609917274177793,28079036
52,187607,ESCUELA INFANTIL MUNICIPAL OSA MENOR,CALLE MEJIA LEQUERICA 21,MADRID,MADRID,28004,JUSTICIA,CENTRO,40.4280399538175,-3.699501702258276,28079035
53,88758,ESCUELA INFANTIL MUNICIPAL RUÍZ JIMÉNEZ,CALLE JOSE PICON 17,MADRID,MADRID,28028,GUINDALERA,SALAMANCA,40.435092812438825,-3.6723748741995066,28079048
54,168220,ESCUELA INFANTIL MUNICIPAL TARABILLA,CALLE GANDHI 14,MADRID,MADRID,28017,PUEBLO NUEVO,CIUDAD LINEAL,40.42369169272075,-3.6349635101992215,28079016
55,4552561,ESCUELA INFANTIL MUNICIPAL VEOVEO,CALLE CONDESA DE VENADITO 3,MADRID,MADRID,28027,SAN PASCUAL,CIUDAD LINEAL,40.44410961610912,-3.6553313008969353,28079016
