date,latitude,longitude,BEN,CH4,CO,EBE,NMHC,NO,NO_2,NOx,O_3,PM10,PM25,SO_2,TCH,TOL,station
2017-07,40.38815277777777,-3.6515222222222223,,,,,,5.935517873197082,32.393616156211976,,,26.489572239452283,,8.664534716263898,,,28079040
2017-06,40.38815277777777,-3.6515222222222223,,,,,,5.046588722047302,30.928497942994817,,,25.433736972094167,,8.921459449418624,,,28079040
2017-05,40.38815277777777,-3.6515222222222223,,,,,,5.5363460413440695,30.746144255271258,,,17.501120633515626,,9.06370913381829,,,28079040
2017-12,40.38815277777777,-3.6515222222222223,,,,,,36.09656626885508,52.69316808159539,108.00297809357649,,21.139971423346157,,4.202472386282079,,,28079040
2017-11,40.38815277777777,-3.6515222222222223,,,,,,38.103512555856916,60.15541194684991,118.53379829108236,,28.319652902716893,,4.631045811455209,,,28079040
2017-09,40.38815277777777,-3.6515222222222223,,,,,,11.923999058232814,40.37377104586012,,,23.124709103080786,,9.71479856175617,,,28079040
2017-08,40.38815277777777,-3.6515222222222223,,,,,,3.932276926383211,27.079638432192535,,,28.13099826331412,,8.628441902417492,,,28079040
2017-04,40.38815277777777,-3.6515222222222223,,,,,,6.2925590334384,30.86588776187472,,,12.66624937925615,,9.678902932290066,,,28079040
2017-01,40.38815277777777,-3.6515222222222223,,,,,,37.53573352277706,56.3174926158577,,,21.6680828005989,,12.738448906647577,,,28079040
2017-10,40.38815277777777,-3.6515222222222223,,,,,,16.126441059498212,48.07087366165405,72.75650934862928,,26.716185417590168,,3.0440608102871494,,,28079040
2017-03,40.38815277777777,-3.6515222222222223,,,,,,15.902423082852934,43.60174978980498,,,16.33348521030722,,10.549075662471703,,,28079040
2017-02,40.38815277777777,-3.6515222222222223,,,,,,18.858509762154423,44.264453798709646,,,31.029444427589084,,11.082418397288555,,,28079040
2017-07,40.47822777777778,-3.7115416666666654,,,0.277155128950556,,,9.081817649854923,30.82807654048092,,62.05595305857628,,,,,,28079039
2017-06,40.47822777777778,-3.7115416666666654,,,0.27028482230903444,,,8.924714277337358,30.997278830109902,,69.59236862657708,,,,,,28079039
2017-05,40.47822777777778,-3.7115416666666654,,,0.28096624291818545,,,8.827422212067004,28.615946462120014,,65.9243266534995,,,,,,28079039
2017-12,40.47822777777778,-3.7115416666666654,,,0.5276435178221756,,,69.96418748904567,58.87734800164603,166.18538240977173,22.678370786515618,,,,,,28079039
2017-11,40.47822777777778,-3.7115416666666654,,,0.5983991874300274,,,83.67306920575247,65.8646121369885,194.1663927172662,20.472582143620084,,,,,,28079039
2017-09,40.47822777777778,-3.7115416666666654,,,0.3725823552224779,,,18.927725392144744,39.340607518603626,,51.88518933895111,,,,,,28079039
2017-08,40.47822777777778,-3.7115416666666654,,,0.26771969827446374,,,5.335658770404415,21.44303246640493,,66.52359891263416,,,,,,28079039
2017-04,40.47822777777778,-3.7115416666666654,,,0.31364940056974017,,,10.347298344763884,30.023796775286428,,73.83410932891486,,,,,,28079039
2017-01,40.47822777777778,-3.7115416666666654,,,0.587251026836054,,,62.99524414962926,54.499768591182026,,23.964336441833467,,,,,,28079039
2017-10,40.47822777777778,-3.7115416666666654,,,0.458316246369484,,,42.43933958277206,57.328553885201124,122.34192280934882,32.53895913904418,,,,,,28079039
2017-03,40.47822777777778,-3.7115416666666654,,,0.4133351599519509,,,27.264625303906843,41.34977311296448,,52.12649969258943,,,,,,28079039
2017-02,40.47822777777778,-3.7115416666666654,,,0.4101040940282267,,,27.331974576328058,41.99333777089827,,38.92736933253709,,,,,,28079039
2017-07,40.49420833333333,-3.6605027777777774,,,0.25415157220516654,,,4.65332297756689,23.619228743645746,,,28.007490198377926,,4.79739378182804,,,28079057
2017-06,40.49420833333333,-3.6605027777777774,,,0.2572836740101756,,,4.318838747273161,22.963371393082873,,,25.268792766167834,,4.706272985646379,,,28079057
2017-05,40.49420833333333,-3.6605027777777774,,,0.27795658874152457,,,4.854292234772409,21.698519515489632,,,16.096611855583284,,4.0382755520564,,,28079057
2017-12,40.49420833333333,-3.6605027777777774,,,0.4056293591896867,,,34.55400337272898,47.95433532469844,100.91470323815372,,13.187012531036453,,8.92235834853968,,,28079057
2017-11,40.49420833333333,-3.6605027777777774,,,0.43496842581814754,,,42.395515290807026,55.632784884597214,120.65270715261008,,18.784422809462864,,13.282081869674881,,,28079057
2017-09,40.49420833333333,-3.6605027777777774,,,0.3209255368223769,,,7.70907661607808,29.752960578771773,,,16.94443292556741,,9.063591885041308,,,28079057
2017-08,40.49420833333333,-3.6605027777777774,,,0.2539927403895955,,,3.2479745077912443,19.784545082172375,,,29.25671484581154,,6.967996425132497,,,28079057
2017-04,40.49420833333333,-3.6605027777777774,,,0.3142105685242536,,,5.313599806495292,22.53734050916889,,,16.54165937308567,,3.3229122573624847,,,28079057
2017-01,40.49420833333333,-3.6605027777777774,,,0.4832678190308166,,,37.943451130189835,49.46204097267018,,,13.317844014491842,,15.324812878035013,,,28079057
2017-10,40.49420833333333,-3.6605027777777774,,,0.3245432804625807,,,16.70608647015743,40.61367949157282,66.21429977364447,,21.248171338292742,,9.047660338962505,,,28079057
2017-03,40.49420833333333,-3.6605027777777774,,,0.3645512625047072,,,12.894110512346971,34.977981583057314,,,15.211991765038805,,15.1228392533208,,,28079057
2017-02,40.49420833333333,-3.6605027777777774,,,0.3767057696132334,,,17.511736950927535,36.62819931316418,,,21.317112680620244,,15.59748590682318,,,28079057
2017-07,40.414444444444435,-3.682583333333333,,,,,,2.515163927885005,20.834954968376806,,56.36257241500283,,,,,,28079049
