measurement,station,date,latitude,longitude
28079040_201707,28079040,2017-07,40.38815277777777,-3.6515222222222223
28079040_201706,28079040,2017-06,40.38815277777777,-3.6515222222222223
28079040_201705,28079040,2017-05,40.38815277777777,-3.6515222222222223
28079040_201712,28079040,2017-12,40.38815277777777,-3.6515222222222223
28079040_201711,28079040,2017-11,40.38815277777777,-3.6515222222222223
28079040_201709,28079040,2017-09,40.38815277777777,-3.6515222222222223
28079040_201708,28079040,2017-08,40.38815277777777,-3.6515222222222223
28079040_201704,28079040,2017-04,40.38815277777777,-3.6515222222222223
28079040_201701,28079040,2017-01,40.38815277777777,-3.6515222222222223
28079040_201710,28079040,2017-10,40.38815277777777,-3.6515222222222223
28079040_201703,28079040,2017-03,40.38815277777777,-3.6515222222222223
28079040_201702,28079040,2017-02,40.38815277777777,-3.6515222222222223
28079039_201707,28079039,2017-07,40.47822777777778,-3.7115416666666654
28079039_201706,28079039,2017-06,40.47822777777778,-3.7115416666666654
28079039_201705,28079039,2017-05,40.47822777777778,-3.7115416666666654
28079039_201712,28079039,2017-12,40.47822777777778,-3.7115416666666654
28079039_201711,28079039,2017-11,40.47822777777778,-3.7115416666666654
28079039_201709,28079039,2017-09,40.47822777777778,-3.7115416666666654
28079039_201708,28079039,2017-08,40.47822777777778,-3.7115416666666654
28079039_201704,28079039,2017-04,40.47822777777778,-3.7115416666666654
28079039_201701,28079039,2017-01,40.47822777777778,-3.7115416666666654
28079039_201710,28079039,2017-10,40.47822777777778,-3.7115416666666654
28079039_201703,28079039,2017-03,40.47822777777778,-3.7115416666666654
28079039_201702,28079039,2017-02,40.47822777777778,-3.7115416666666654
28079057_201707,28079057,2017-07,40.49420833333333,-3.6605027777777774
28079057_201706,28079057,2017-06,40.49420833333333,-3.6605027777777774
28079057_201705,28079057,2017-05,40.49420833333333,-3.6605027777777774
28079057_201712,28079057,2017-12,40.49420833333333,-3.6605027777777774
28079057_201711,28079057,2017-11,40.49420833333333,-3.6605027777777774
28079057_201709,28079057,2017-09,40.49420833333333,-3.6605027777777774
28079057_201708,28079057,2017-08,40.49420833333333,-3.6605027777777774
28079057_201704,28079057,2017-04,40.49420833333333,-3.6605027777777774
28079057_201701,28079057,2017-01,40.49420833333333,-3.6605027777777774
28079057_201710,28079057,2017-10,40.49420833333333,-3.6605027777777774
28079057_201703,28079057,2017-03,40.49420833333333,-3.6605027777777774
28079057_201702,28079057,2017-02,40.49420833333333,-3.6605027777777774
28079049_201707,28079049,2017-07,40.414444444444435,-3.682583333333333
28079049_201706,28079049,2017-06,40.414444444444435,-3.682583333333333
28079049_201705,28079049,2017-05,40.414444444444435,-3.682583333333333
28079049_201712,28079049,2017-12,40.414444444444435,-3.682583333333333
28079049_201711,28079049,2017-11,40.414444444444435,-3.682583333333333
28079049_201709,28079049,2017-09,40.414444444444435,-3.682583333333333
28079049_201708,28079049,2017-08,40.414444444444435,-3.682583333333333
28079049_201704,28079049,2017-04,40.414444444444435,-3.682583333333333
28079049_201701,28079049,2017-01,40.414444444444435,-3.682583333333333
28079049_201710,28079049,2017-10,40.414444444444435,-3.682583333333333
28079049_201703,28079049,2017-03,40.414444444444435,-3.682583333333333
28079049_201702,28079049,2017-02,40.414444444444435,-3.682583333333333
28079060_201707,28079060,2017-07,40.50058888888889,-3.6897611111111113
28079060_201706,28079060,2017-06,40.50058888888889,-3.6897611111111113
28079060_201705,28079060,2017-05,40.50058888888889,-3.6897611111111113
28079060_201712,28079060,2017-12,40.50058888888889,-3.6897611111111113
28079060_201711,28079060,2017-11,40.50058888888889,-3.6897611111111113
28079060_201709,28079060,2017-09,40.50058888888889,-3.6897611111111113
28079060_201708,28079060,2017-08,40.50058888888889,-3.6897611111111113
28079060_201704,28079060,2017-04,40.50058888888889,-3.6897611111111113
28079060_201701,28079060,2017-01,40.50058888888889,-3.6897611111111113
28079060_201710,28079060,2017-10,40.50058888888889,-3.6897611111111113
28079060_201703,28079060,2017-03,40.50058888888889,-3.6897611111111113
28079060_201702,28079060,2017-02,40.50058888888889,-3.6897611111111113
28079038_201707,28079038,2017-07,40.44554444444445,-3.7071277777777785
28079038_201706,28079038,2017-06,40.44554444444445,-3.7071277777777785
28079038_201705,28079038,2017-05,40.44554444444445,-3.7071277777777785
28079038_201712,28079038,2017-12,40.44554444444445,-3.7071277777777785
28079038_201711,28079038,2017-11,40.44554444444445,-3.7071277777777785
28079038_201709,28079038,2017-09,40.44554444444445,-3.7071277777777785
28079038_201708,28079038,2017-08,40.44554444444445,-3.7071277777777785
28079038_201704,28079038,2017-04,40.44554444444445,-3.7071277777777785
28079038_201701,28079038,2017-01,40.44554444444445,-3.7071277777777785
28079038_201710,28079038,2017-10,40.44554444444445,-3.7071277777777785
28079038_201703,28079038,2017-03,40.44554444444445,-3.7071277777777785
28079038_201702,28079038,2017-02,40.44554444444445,-3.7071277777777785
28079016_201707,28079016,2017-07,40.44004722222222,-3.6392333333333333
28079016_201706,28079016,2017-06,40.44004722222222,-3.6392333333333333
28079016_201705,28079016,2017-05,40.44004722222222,-3.6392333333333333
